boutique,code_postal,client_anciennete,frequence_visites,captation,causes_achats,produit_prefere,produits_moins_connus,client_internet,volonte_boutique_proche,lat,lon,lat_boutique,lon_boutique
Espelette,59000,Depuis quelques annees,exceptionelle,bouche a oreille,pour me faire plaisir; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Autres,Autres,Non,oui,50.62983143348346,3.077406286474314,43.3411726,-1.448083
Espelette,64300,Depuis quelques annees,exceptionelle,"avec vos parents, votre famille",pour me faire plaisir; quand je reçois du monde ou quand je suis invitee,Gateau basque,Gateau basque aux agrumes,Non,sans_avis,43.48827040993789,-0.7467499372670808,43.3411726,-1.448083
Espelette,54390,C’est une de mes premieres visites,exceptionelle,par hasard en passant devant,pour me faire plaisir,Autres,Je ne sais pas,Non,Non,48.76140931666667,6.1346066666666665,43.3411726,-1.448083
Espelette,92130,Depuis quelques annees,exceptionelle,par hasard en passant devant,pour me faire plaisir,Gateau basque,Je ne sais pas,Non,sans_avis,48.82289356642599,2.2651024750902526,43.3411726,-1.448083
Espelette,34080,Depuis toujours,exceptionelle,par hasard en passant devant,pour me faire plaisir; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Gateau basque,Espelines,Non,Non,41.01567865,28.94737780547827,43.3411726,-1.448083
Espelette,78500,C’est une de mes premieres visites,exceptionelle,sur un guide,pour me faire plaisir,Autres,Je ne sais pas,Non,oui,48.93964856491228,2.1686654134502925,43.3411726,-1.448083
Espelette,33380,Depuis quelques annees,exceptionelle,bouche a oreille,pour me faire plaisir,Mouchous,Je ne sais pas,Non,oui,25.06047445,121.37026625,43.3411726,-1.448083
Espelette,79800,Depuis quelques annees,exceptionelle,par hasard en passant devant,pour me faire plaisir,Autres,Je ne sais pas,Non,oui,46.37623835,-0.0869979999129815,43.3411726,-1.448083
Espelette,57140,C’est une de mes premieres visites,premiere_fois,par hasard en passant devant,pour me faire plaisir,sans_avis,Je ne sais pas,Non,oui,49.16912469074074,6.13045527037037,43.3411726,-1.448083
Espelette,64250,Depuis toujours,regulier,"avec vos parents, votre famille",pour me faire plaisir; pour faire un cadeau,Chocolat,Je ne sais pas,Non,sans_avis,43.34159391694915,-1.4317989559322033,43.3411726,-1.448083
